ID,ID Update,Phone Number,Phone Number Update,Country Code,Name,Name Update,Email,Email Update,Birthday (dd/mm/yyyy),Birthday (yyy-mm-dd),Total Point,Extra Point,Final Point,Status
MERAH,10021032400001,084952689821,+6284952689821,ID,Brad Burn's,Brad Burns,U12345@test.com,U12345@test.com,15/06/2014,2014-06-15,300,3,303.0,Active
MERAH,10021032400001,088575651753,+6288575651753,ID,Beulah  Henry,Beulah  Henry,U12346@test.cim,U12346@test.com,19/07/1990,1990-07-19,1100,3,1103.0,Active
MERAH,10021032400001,087020843416,+6287020843416,ID,Misty Allison.,Misty Allison,"U12347@test,com",U12347@test.com,19/05/1985,1985-05-19,50,3,53.0,Active
MERAH,10021032400001,088368697914,+6288368697914,ID,Lester-Stokes,Lesterstokes,U12348@test.com,U12348@test.com,13/06/1988,1988-06-13,170,3,173.0,Active
BIRU,10021032400002,086886750508,+6286886750508,ID,Candace Garci?a,Candace Garcia,U12349@test.com,U12349@test.com,07 Januari 1996,1996-01-07,140,2,142.0,Active
HIJAU,10021032400003,083964910137,+6283964910137,ID,@Glen Stevenson,Glen Stevenson,U12350@test.com,U12350@test.com,21/01/2015,2015-01-21,250,1,251.0,Active
BIRU,10021032400002,085727566936,+6285727566936,ID,  Guadalupe Lawson,Guadalupe Lawson,U12351@test.com,U12351@test.com,12/08/2000,2000-08-12,570,2,572.0,Active
BIRU,10021032400002,083598241351,+6283598241351,ID,Charlene ColonÃ,Charlene Colon,U12352@test.com,U12352@test.com,10/09/2003,2003-09-10,60,2,62.0,Active
HIJAU,10021032400003,081893046799,+6281893046799,ID,Dustin Martinez 2,Dustin Martinez,"U12353@test,com",U12353@test.com,10/11/1999,1999-11-10,830,1,831.0,Active
MERAH,10021032400001,085759322206,+6285759322206,ID,Gail Pearson.,Gail Pearson,U12354@test.com,U12354@test.com,01/03/1997,1997-03-01,720,3,723.0,Active
HIJAU,10021032400003,084261555903,+6284261555903,ID,Robin-White,Robinwhite,U12355@test.com,U12355@test.com,05/01/1995,1995-01-05,1640,1,1641.0,Active
HIJAU,10021032400003,082293021105,+6282293021105,ID,"Kyle, Perry",Kyle Perry,U12356@test.com,U12356@test.com,15/01/2002,2002-01-15,180,1,181.0,Active
HIJAU,10021032400003,089774781360,+6289774781360,ID,Toby  Parker,Toby  Parker,U12357@test..com,U12357@test.com,16/11/1989,1989-11-16,840,1,841.0,Active
BIRU,10021032400002,086226262977,+6286226262977,ID,Marsha Pena',Marsha Pena,U12358@test.com,U12358@test.com,16-01-1991,1991-01-16,2450,2,2452.0,Active
MERAH,10021032400001,085342701757,+6285342701757,ID,?Stephanie Simon,Stephanie Simon,U12359@test.com,U12359@test.com,20/02/1992,1992-02-20,3300,3,3303.0,Active
MERAH,10021032400001,085509266752,+6285509266752,ID,Alan Park,Alan Park,U12360@test.com,U12360@test.com,26/01/2005,2005-01-26,970,3,973.0,Active
BIRU,10021032400002,088703185304,+6288703185304,ID,Olive O'Conner,Olive Oconner,U12361@test.cim,U12361@test.com,12/12/1993,1993-12-12,650,2,652.0,Active
BIRU,10021032400002,081104509780,+6281104509780,ID,Wm. Sparks,Wm Sparks,U12362@ test.com,U12362@test.com,05-01-1994,1994-01-05,320,2,322.0,Active
BIRU,10021032400002,087093736450,+6287093736450,ID,"Christine, Wright",Christine Wright,U12363@test.com,U12363@test.com,05/10/1998,1998-10-05,110,2,112.0,Active
BIRU,10021032400002,082126811212,+6282126811212,ID,Darrel LunaÃ,Darrel Luna,U12364@test.com,U12364@test.com,05/01/2001,2001-01-05,90,2,92.0,Active
HIJAU,10021032400003,082230272928,+6282230272928,ID,Tommy_Chen,Tommychen,U12365@test.com,U12365@test.com,15/08/2003,2003-08-15,539,1,540.0,Active
HIJAU,10021032400003,088258449600,+6288258449600,ID,Jason 2Tan,Jason Tan,U12366@test.com,U12366@test.com,22/12/1987,1987-12-22,880,1,881.0,Active
MERAH,10021032400001,083574688293,+6283574688293,ID,Sammy Lim/Sam,Sammy Limsam,"U12367@test,com",U12367@test.com,30/03/1976,1976-03-30,285,3,288.0,Active
HIJAU,10021032400003,086494117645,+6286494117645,ID,Marco Blan&co,Marco Blanco,U12368@test.com,U12368@test.com,01/07/1979,1979-07-01,524,1,525.0,Active
BIRU,10021032400002,087480104711,+6287480104711,ID,@Helena  Kim,Helena  Kim,U12369@ test.com,U12369@test.com,06/09/1981,1981-09-06,705,2,707.0,Active
HIJAU,10021032400003,08472579678,+628472579678,ID,Bridget Patterson,Bridget Patterson,U12370@test.com,U12370@test.com,02/07/1994,1994-07-02,68,1,69.0,Active
BIRU,10021032400002,08962658080,+628962658080,ID,Aryana Manning,Aryana Manning,U12371@test.com,U12371@test.com,30/11/1963,1963-11-30,372,2,374.0,Active
BIRU,10021032400002,08503659803,+628503659803,ID,Xzavier Morse,Xzavier Morse,U12372@test.com,U12372@test.com,28/12/1983,1983-12-28,678,2,680.0,Active
HIJAU,10021032400003,08416031808,+628416031808,ID,Sandra Hooper,Sandra Hooper,U12373@test.com,U12373@test.com,10/05/1974,1974-05-10,90,1,91.0,Active
MERAH,10021032400001,08827901294,+628827901294,ID,Branson Holloway,Branson Holloway,U12374@test.com,U12374@test.com,02/06/1990,1990-06-02,599,3,602.0,Active
HIJAU,10021032400003,08151683664,+628151683664,ID,Zavier Kaufman,Zavier Kaufman,U12375@test.com,U12375@test.com,03/06/1994,1994-06-03,151,1,152.0,Active
HIJAU,10021032400003,08373723159,+628373723159,ID,Brayan Waters,Brayan Waters,U12376@test.com,U12376@test.com,21/12/1994,1994-12-21,881,1,882.0,Active
HIJAU,10021032400003,0873523593141,+62873523593141,ID,Trevor Morris,Trevor Morris,U12377@test.com,U12377@test.com,23/09/1982,1982-09-23,276,1,277.0,Active
BIRU,10021032400002,08351626131,+628351626131,ID,Samir Santana,Samir Santana,U12378@test.com,U12378@test.com,15/08/1994,1994-08-15,106,2,108.0,Active
MERAH,10021032400001,08324462487,+628324462487,ID,Finley Lindsey,Finley Lindsey,U12379@test.com,U12379@test.com,25/10/2009,2009-10-25,116,3,119.0,Active
MERAH,10021032400001,08858151508,+628858151508,ID,Gretchen Ibarra,Gretchen Ibarra,U12380@test.com,U12380@test.com,02/03/1971,1971-03-02,706,3,709.0,Active
BIRU,10021032400002,08394561571,+628394561571,ID,Theresa Shields,Theresa Shields,U12381@test.com,U12381@test.com,30/08/1983,1983-08-30,67,2,69.0,Active
BIRU,10021032400002,08972228713,+628972228713,ID,Kale Graham,Kale Graham,U12382@test.com,U12382@test.com,06/12/1992,1992-12-06,863,2,865.0,Active
BIRU,10021032400002,08786546290,+628786546290,ID,Kai Anthony,Kai Anthony,U12383@test.com,U12383@test.com,02/12/1975,1975-12-02,223,2,225.0,Active
BIRU,10021032400002,08415411872,+628415411872,ID,Dashawn Hoover,Dashawn Hoover,U12384@test.com,U12384@test.com,05/09/1977,1977-09-05,543,2,545.0,Active
HIJAU,10021032400003,08828574154,+628828574154,ID,Kaylah Campos,Kaylah Campos,U12385@test.com,U12385@test.com,08/06/1980,1980-06-08,71,1,72.0,Active
HIJAU,10021032400003,08182937169,+628182937169,ID,Autumn Mcmillan,Autumn Mcmillan,U12386@test.com,U12386@test.com,06/01/1972,1972-01-06,314,1,315.0,Active
HIJAU,10021032400003,08746087787,+628746087787,ID,Lilia Burch,Lilia Burch,U12387@test.com,U12387@test.com,15/12/1984,1984-12-15,437,1,438.0,Active
HIJAU,10021032400003,08821184978,+628821184978,ID,Jordyn Carpenter,Jordyn Carpenter,U12388@test.com,U12388@test.com,04/06/1986,1986-06-04,424,1,425.0,Active
HIJAU,10021032400003,08785740110,+628785740110,ID,Mariah Swanson,Mariah Swanson,U12389@test.com,U12389@test.com,12/01/1960,1960-01-12,272,1,273.0,Active
HIJAU,10021032400003,08605685439,+628605685439,ID,Ben Simpson,Ben Simpson,U12390@test.com,U12390@test.com,23/04/1964,1964-04-23,839,1,840.0,Active
HIJAU,10021032400003,08770522937,+628770522937,ID,Elsa_Petty,Elsapetty,U12391@test.com,U12391@test.com,09/03/1962,1962-03-09,555,1,556.0,Active
HIJAU,10021032400003,08781766066,+628781766066,ID,Lydia Bray,Lydia Bray,U12392@test.com,U12392@test.com,10/01/1975,1975-01-10,325,1,326.0,Active
HIJAU,10021032400003,08183990989,+628183990989,ID,Terrell Chang,Terrell Chang,U12393@test.com,U12393@test.com,17/09/1976,1976-09-17,333,1,334.0,Active
HIJAU,10021032400003,08125508245,+628125508245,ID,Kara Fitzpatrick,Kara Fitzpatrick,U12394@test.com,U12394@test.com,21/07/1961,1961-07-21,791,1,792.0,Active
HIJAU,10021032400003,08539200043,+628539200043,ID,Clare Finley,Clare Finley,U12395@test.com,U12395@test.com,10/12/2004,2004-12-10,734,1,735.0,Active
HIJAU,10021032400003,08733732099,+628733732099,ID,Rayne Luna,Rayne Luna,U12396@test.com,U12396@test.com,07/04/1984,1984-04-07,385,1,386.0,Active
HIJAU,10021032400003,08569919515,+628569919515,ID,Kate Harper,Kate Harper,U12397@test.com,U12397@test.com,14/02/1965,1965-02-14,634,1,635.0,Active
HIJAU,10021032400003,08454600766,+628454600766,ID,Gilbert Osborn,Gilbert Osborn,U12398@test.com,U12398@test.com,12/10/1977,1977-10-12,83,1,84.0,Active
HIJAU,10021032400003,08778221200,+628778221200,ID,Arabella Donovan,Arabella Donovan,U12399@test.com,U12399@test.com,30/03/1969,1969-03-30,508,1,509.0,Active
HIJAU,10021032400003,08963598231,+628963598231,ID,Greyson Davis,Greyson Davis,U12400@test.com,U12400@test.com,26/06/1979,1979-06-26,128,1,129.0,Active
MERAH,10021032400001,08333129662,+628333129662,ID,Chanel Humphrey,Chanel Humphrey,U12401@test.com,U12401@test.com,14/04/1981,1981-04-14,129,3,132.0,Active
HIJAU,10021032400003,08938856346,+628938856346,ID,Gauge Foley,Gauge Foley,U12402@test.com,U12402@test.com,09/05/1991,1991-05-09,983,1,984.0,Active
BIRU,10021032400002,08396075703,+628396075703,ID,Kymani Sims,Kymani Sims,U12403@test.com,U12403@test.com,13/06/2002,2002-06-13,822,2,824.0,Active
BIRU,10021032400002,08112861180,+628112861180,ID,Seth @Eaton,Seth Eaton,U12404@test.com,U12404@test.com,27/07/1981,1981-07-27,718,2,720.0,Active
BIRU,10021032400002,08531708094,+628531708094,ID,Jakob Peterson,Jakob Peterson,U12405@test.com,U12405@test.com,21/08/1975,1975-08-21,481,2,483.0,Active
BIRU,10021032400002,08498971050,+628498971050,ID,Abel Anthony,Abel Anthony,U12406@test.com,U12406@test.com,25/12/1975,1975-12-25,452,2,454.0,Active
BIRU,10021032400002,0864193219790,+62864193219790,ID,Yoselin Larsen,Yoselin Larsen,U12407@test.com,U12407@test.com,02/01/1963,1963-01-02,349,2,351.0,Active
BIRU,10021032400002,08559451224,+628559451224,ID,Penelope Wagner,Penelope Wagner,U12408@test.com,U12408@test.com,27/04/2008,2008-04-27,949,2,951.0,Active
BIRU,10021032400002,08688041619,+628688041619,ID,Aron Ramirez,Aron Ramirez,U12409@test.com,U12409@test.com,30/08/1972,1972-08-30,846,2,848.0,Active
BIRU,10021032400002,08695331819,+628695331819,ID,Grace Jacobs,Grace Jacobs,U12410@test.com,U12410@test.com,03/04/1983,1983-04-03,284,2,286.0,Active
BIRU,10021032400002,08748397677,+628748397677,ID,Arnav Rangel,Arnav Rangel,U12411@test.com,U12411@test.com,30/05/1983,1983-05-30,957,2,959.0,Active
BIRU,10021032400002,08432321955,+628432321955,ID,Madisyn Cobb,Madisyn Cobb,U12412@test.com,U12412@test.com,19/10/1988,1988-10-19,736,2,738.0,Active
BIRU,10021032400002,08653683187,+628653683187,ID,Kamryn Padilla,Kamryn Padilla,U12413@test.com,U12413@test.com,28/10/2004,2004-10-28,566,2,568.0,Active
BIRU,10021032400002,08164177293,+628164177293,ID,Monserrat Buck,Monserrat Buck,U12414@test.com,U12414@test.com,07/01/1979,1979-01-07,427,2,429.0,Active
BIRU,10021032400002,08794913800,+628794913800,ID,Harper Cummings,Harper Cummings,U12415@test.com,U12415@test.com,16/07/1972,1972-07-16,695,2,697.0,Active
BIRU,10021032400002,0852705641087,+62852705641087,ID,Charity Herring,Charity Herring,U12416@test.com,U12416@test.com,18/12/1981,1981-12-18,893,2,895.0,Active
BIRU,10021032400002,08272830990,+628272830990,ID,Shannon Golden,Shannon Golden,U12417@test.com,U12417@test.com,14/11/1990,1990-11-14,869,2,871.0,Active
BIRU,10021032400002,08785118792,+628785118792,ID,Marcelo Hays,Marcelo Hays,U12418@test.com,U12418@test.com,23/04/2001,2001-04-23,985,2,987.0,Active
MERAH,10021032400001,08220256985,+628220256985,ID,Ronin Bartlett,Ronin Bartlett,U12419@test.com,U12419@test.com,09/11/1976,1976-11-09,640,3,643.0,Active
MERAH,10021032400001,08220617109,+628220617109,ID,Terrell Cervantes,Terrell Cervantes,U12420@test.com,U12420@test.com,26/08/1969,1969-08-26,421,3,424.0,Active
MERAH,10021032400001,08402247257,+628402247257,ID,Joslyn Cabrera,Joslyn Cabrera,U12421@test.com,U12421@test.com,23/07/1971,1971-07-23,486,3,489.0,Active
MERAH,10021032400001,08555513133,+628555513133,ID,Kyla Knight,Kyla Knight,U12422@test.com,U12422@test.com,16/11/1969,1969-11-16,333,3,336.0,Active
MERAH,10021032400001,08111091665,+628111091665,ID,Maleah Greer,Maleah Greer,U12423@test.com,U12423@test.com,12/06/1998,1998-06-12,705,3,708.0,Active
MERAH,10021032400001,08509410990,+628509410990,ID,Presley Rocha,Presley Rocha,U12424@test.com,U12424@test.com,05/07/1974,1974-07-05,730,3,733.0,Active
MERAH,10021032400001,08342942253,+628342942253,ID,Justin Horn,Justin Horn,U12425@test.com,U12425@test.com,10/07/1967,1967-07-10,699,3,702.0,Active
MERAH,10021032400001,08794877017,+628794877017,ID,Geovanni Chapman,Geovanni Chapman,U12426@test.com,U12426@test.com,09-06-1976,1976-06-09,258,3,261.0,Active
MERAH,10021032400001,08376972372,+628376972372,ID,Beatrice Brewer,Beatrice Brewer,U12427@test.com,U12427@test.com,15-02-1997,1997-02-15,392,3,395.0,Active
MERAH,10021032400001,08967362734,+628967362734,ID,Gavin Good,Gavin Good,U12428@test.com,U12428@test.com,25-07-1970,1970-07-25,525,3,528.0,Active
MERAH,10021032400001,0167774294,+60167774294,MY,Osvaldo Garza,Osvaldo Garza,U12429@test.com,U12429@test.com,07/04/1980,1980-04-07,390,3,393.0,Active
MERAH,10021032400001,0167233846,+60167233846,MY,Shiloh Downs,Shiloh Downs,U12430@test.com,U12430@test.com,14/12/1970,1970-12-14,481,3,484.0,Active
MERAH,10021032400001,0167218418,+60167218418,MY,Emilio Clark,Emilio Clark,U12431@test.com,U12431@test.com,20/10/2004,2004-10-20,542,3,545.0,Active
MERAH,10021032400001,0163746947,+60163746947,MY,Milton Ware,Milton Ware,U12432@test.com,U12432@test.com,07/04/1982,1982-04-07,186,3,189.0,Active
MERAH,10021032400001,0167651219,+60167651219,MY,Jamarion Hammond,Jamarion Hammond,U12433@test.com,U12433@test.com,28/08/2004,2004-08-28,500,3,503.0,Active
MERAH,10021032400001,0162014323,+60162014323,MY,Kaylynn Pittman,Kaylynn Pittman,U12434@test.com,U12434@test.com,27/05/1985,1985-05-27,169,3,172.0,Active
MERAH,10021032400001,0165140313,+60165140313,MY,Tyson Werner,Tyson Werner,U12435@test.com,U12435@test.com,06/11/2001,2001-11-06,628,3,631.0,Active
MERAH,10021032400001,0168755207,+60168755207,MY,Richard Munoz,Richard Munoz,U12436@test.com,U12436@test.com,23/05/2009,2009-05-23,489,3,492.0,Active
MERAH,10021032400001,0165092480,+60165092480,MY,Johnny Esparza,Johnny Esparza,U12437@test.com,U12437@test.com,27/01/2004,2004-01-27,115,3,118.0,Active
MERAH,10021032400001,0164347288,+60164347288,MY,Kieran Gregory,Kieran Gregory,U12438@test.com,U12438@test.com,02/02/1987,1987-02-02,866,3,869.0,Active
MERAH,10021032400001,08170460321,+628170460321,ID,Alivia Flynn,Alivia Flynn,U12439@test.com,U12439@test.com,19/06/1968,1968-06-19,152,3,155.0,Active
MERAH,10021032400001,08122229860,+628122229860,ID,Aarav Payne,Aarav Payne,U12440@test.com,U12440@test.com,26/09/1965,1965-09-26,74,3,77.0,Active
MERAH,10021032400001,08768771565,+628768771565,ID,Ximena Moses,Ximena Moses,U12441@test.com,U12441@test.com,03/08/1961,1961-08-03,946,3,949.0,Active
MERAH,10021032400001,08145410332,+628145410332,ID,Kevin Gamble.,Kevin Gamble,U12442@test.com,U12442@test.com,14/01/1984,1984-01-14,135,3,138.0,Active
MERAH,10021032400001,08166454782,+628166454782,ID,Leia Peterson.,Leia Peterson,U12443@test.com,U12443@test.com,19/02/1998,1998-02-19,271,3,274.0,Inactive
MERAH,10021032400001,08786397262,+628786397262,ID,Karlie Brady.,Karlie Brady,U12444@test.com,U12444@test.com,18/07/2001,2001-07-18,328,3,331.0,Inactive
